ID,Smape,cpuTime
1299,0.155679275,0.13
1300,0.191522503,0.16
1301,0.183553724,0.16
1302,0.114439657,0.08
1303,0.18220747,0.07
1304,0.271942646,0.14
1305,0.420314711,0.16
1307,0.197416833,0.11
1308,0.138521664,0.11
1309,0.296671906,0.16
1311,0.247679723,0.14
1312,0.109967625,0.14
1314,0.215868384,0.13
1315,0.615946685,0.14
1316,0.365904582,0.14
1317,0.149921563,0.1
1318,0.335445542,0.08
1319,0.081983509,0.08
1321,0.140931776,0.08
1322,0.054611643,0.08
1324,0.220010865,0.08
1326,0.221216163,0.09
1327,0.216953302,0.06
1328,0.147713514,0.08
1329,0.313476119,0.14
1330,0.362338168,0.06
1331,0.196636023,0.17
1332,0.192074538,0.07
1333,0.024274988,0.03
1334,0.127790994,0.11
1335,NA,0.14
1336,0.207153143,0.1
1337,0.173075034,0.08
1338,0.164044713,0.08
1339,0.201147902,0.16
1341,0.11394892,0.22
1342,0.28097021,0.17
1343,0.229451996,0.09
1345,0.371368206,0.1
1346,0.149865258,0.14
1347,0.220696047,0.12
1349,0.224805444,0.08
1350,0.181526149,0.18
1352,0.182315597,0.08
1353,0.219967073,0.09
1354,0.212577527,0.08
1355,0.173479927,0.11
1356,0.784290887,0.17
1359,0.366397412,0.08
1360,0.215867293,0.15
1361,0.237104104,0.16
1362,0.174002757,0.08
1363,0.085650368,0.07
1364,0.343242837,0.07
1365,0.339184759,0.17
1366,0.559313774,0.08
1367,0.31827369,0.15
1369,NA,0.17
1370,0.125688661,0.11
1371,0.505063547,0.14
1372,0.5176619,0.07
1373,0.274459254,0.08
1374,0.41403398,0.1
1375,0.131770879,0.06
1376,0.413313293,0.09
1377,0.111490355,0.08
1378,0.264407282,0.21
1380,0.133630713,0.11
1381,0.128425117,0.19
1382,0.23420216,0.14
1383,0.113625866,0.08
1385,0.117111414,0.12
1386,0.177311048,0.14
1387,0.314412527,0.14
1388,0.277330204,0.08
1389,0.245916384,0.08
1390,0.195258797,0.14
1391,0.125790946,0.16
1393,0.081929776,0.16
1395,0.120486243,0.06
1397,0.136664536,0.08
1398,0.187210396,0.19
